Key,English,Espanol,Catala
,,,
Game.HealthBar,Damage Recieved,Daño Recibido,Dany rebut
Game.Overheat,Overheat,Sobrecalentamiento,Sobreescalfament
Game.Push,Push Shoot,Ataque Explosivo,Atac explosiu
Game.MAntoniaDefeat,"And now what do I do with these 127 croquettes, eh! eh!","Y ahora que hago con estas 127 croquetas, eh! eh!","
I ara que faig amb aquestes 127 croquetes, eh! eh!"
Game.PepeDefeat,"Ah, eh, oh my god my neck is killing me","Ay, ay, ay, ay, ay que dolor Dios mío, como me duelen las cervicales","
Ai, ai, ai, ai, ai quin dolor Déu meu, quin mal em fan les cervicals"
Game.CarmeVictory,Dont look a gift chicken in the mouth,A gallina regalada no le mires el diente,A gallina regalada no li miris la dent
Game.JosefinoVictory,"Here take this, go buy yourself something nice","Anda toma, para que te compres algo bonito","Anda prem, perqu[e et compris quelcom bonic"
Game.MAntoniaVictory,"Eat more son, you're skin and bones","Come más hijo, que estás en los huesos","Menja més fill, que estàs en els ossos"
Game.PepeVictory,When I was your age I was already driving 5 tractors,Yo a tu edad conduciía 5 tractores,Jo a la teva edat conduïa 5 tractors
